2023-08-26 03:43:32.761 [info] Extension host with pid 984 started
2023-08-26 03:43:33.069 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2023-08-26 03:43:33.508 [info] Lock '/root/.vscode-server/data/User/workspaceStorage/d2eb21bc74c50c8e88840cefc8822491/vscode.lock': Lock acquired.
2023-08-26 03:43:33.569 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2023-08-26 03:43:33.574 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2023-08-26 03:43:35.757 [info] ExtensionService#_doActivateExtension vscode.ipynb, startup: false, activationEvent: 'onNotebookSerializer:jupyter-notebook'
2023-08-26 03:43:37.190 [info] ExtensionService#_doActivateExtension ms-toolsai.jupyter, startup: false, activationEvent: 'onNotebook:jupyter-notebook'
2023-08-26 03:43:37.195 [info] ExtensionService#_doActivateExtension ms-toolsai.vscode-jupyter-cell-tags, startup: false, activationEvent: 'onNotebook:jupyter-notebook'
2023-08-26 03:43:37.214 [info] ExtensionService#_doActivateExtension ms-toolsai.vscode-jupyter-slideshow, startup: false, activationEvent: 'onNotebook:jupyter-notebook'
2023-08-26 03:43:37.235 [info] ExtensionService#_doActivateExtension ms-toolsai.jupyter-renderers, startup: false, activationEvent: 'onNotebook:*'
2023-08-26 03:43:43.773 [info] Not activating extension 'RandomFractalsInc.vscode-data-table': Timed out while searching for 'workspaceContains' pattern **/*.ipynb,**/*.xbook,**/*.restbook
2023-08-26 03:43:43.780 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2023-08-26 03:43:43.785 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2023-08-26 03:43:43.788 [info] ExtensionService#_doActivateExtension cweijan.vscode-mysql-client2, startup: false, activationEvent: 'onStartupFinished'
2023-08-26 03:43:56.136 [info] ExtensionService#_doActivateExtension ms-python.python, startup: false, activationEvent: 'onLanguage:python'
2023-08-26 03:43:56.138 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2023-08-26 03:43:56.141 [info] ExtensionService#_doActivateExtension RandomFractalsInc.vscode-data-table, startup: false, activationEvent: 'onRenderer:vscode-data-table'
2023-08-26 03:44:02.557 [info] Eager extensions activated
