"filename", "language", "JSON", "Ignore", "JSON with Comments", "JavaScript", "CSV", "HTML", "OJS", "YAML", "XML", "TypeScript", "pip requirements", "Markdown", "CSS", "Arrow", "comment", "blank", "total"
"e:\projects\vscode\randomFractals\vscode-data-table\.eslintrc.json", "JSON with Comments", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 23
"e:\projects\vscode\randomFractals\vscode-data-table\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\projects\vscode\randomFractals\vscode-data-table\.vscodeignore", "Ignore", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"e:\projects\vscode\randomFractals\vscode-data-table\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 230, 0, 0, 0, 12, 242
"e:\projects\vscode\randomFractals\vscode-data-table\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 93, 254
"e:\projects\vscode\randomFractals\vscode-data-table\data\superstore.arrow", "Arrow", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7533, 0, 10, 7543
"e:\projects\vscode\randomFractals\vscode-data-table\data\superstore.schema.json", "JSON", 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 254
"e:\projects\vscode\randomFractals\vscode-data-table\data\usa-airports.csv", "CSV", 0, 0, 0, 0, 3377, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3378
"e:\projects\vscode\randomFractals\vscode-data-table\data\usa-airports.json", "JSON", 30386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30386
"e:\projects\vscode\randomFractals\vscode-data-table\data\usa-state-capitals.geojson", "JSON", 855, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 856
"e:\projects\vscode\randomFractals\vscode-data-table\data\world-cities.geojson", "JSON", 63505, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63505
"e:\projects\vscode\randomFractals\vscode-data-table\data\world-gdp.csv", "CSV", 0, 0, 0, 0, 11508, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11509
"e:\projects\vscode\randomFractals\vscode-data-table\data\world-gdp.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11510, 0, 0, 0, 0, 0, 0, 0, 11510
